,uuid,Company_Names,census_id,count,uuid_comp
225,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,106,7,Apple AirLocate
226,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,122,7,Apple AirLocate
227,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,147,7,Apple AirLocate
228,e5a392d8-5351-4fb4-8bde-277773263d48,,147,7,e5a392d8-5351-4fb4-8bde-277773263d48
229,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,124,7,Glimworm
230,f2356731-fbd4-4a10-8aa2-c89adf48a98d,,958,7,f2356731-fbd4-4a10-8aa2-c89adf48a98d
231,f7b5c2e9-949d-49f3-bb3b-08762506cec1,,61,7,f7b5c2e9-949d-49f3-bb3b-08762506cec1
232,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,150,7,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
233,50765cb7-d9ea-4e21-99a4-fa879613a492,,954,7,50765cb7-d9ea-4e21-99a4-fa879613a492
234,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,874,7,Glimworm
235,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,61,7,Glimworm
236,b2e5fc49-d460-42b9-893c-27dbaff94309,,101,7,b2e5fc49-d460-42b9-893c-27dbaff94309
237,6ab357ac-96dd-4d5e-a606-b9dd64c570c7,,154,7,6ab357ac-96dd-4d5e-a606-b9dd64c570c7
238,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,873,7,Glimworm
239,8a21c76b-74e3-4341-92be-33fcfdefdd63,,149,7,8a21c76b-74e3-4341-92be-33fcfdefdd63
240,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,19,7,Glimworm
241,8a21c76b-74e3-4341-92be-33fcfdefdd63,,797,7,8a21c76b-74e3-4341-92be-33fcfdefdd63
242,d451a8ca-6bf8-7847-ffad-d5370ba20806,,32,7,d451a8ca-6bf8-7847-ffad-d5370ba20806
243,5993a94c-7d97-4df7-9abf-e493bfd5d000,,750,7,5993a94c-7d97-4df7-9abf-e493bfd5d000
244,20cae8a0-a9cf-11e3-a5e2-0800200c9a66,Onyx beacon,141,7,Onyx beacon
245,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6,,23,7,1ca92e23-f087-4df7-b9a2-fd4b716a4bf6
246,50765cb7-d9ea-4e21-99a4-fa879613a492,,996,7,50765cb7-d9ea-4e21-99a4-fa879613a492
247,56db0365-a001-4062-9e4d-499d3b8eccf3,,135,7,56db0365-a001-4062-9e4d-499d3b8eccf3
248,50765cb7-d9ea-4e21-99a4-fa879613a492,,78,6,50765cb7-d9ea-4e21-99a4-fa879613a492
